trip id,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,count
105_120,105,42.3572185,-71.11387163,120,42.356052,-71.069849,5
105_122,105,42.3572185,-71.11387163,122,42.345733,-71.100694,4
105_124,105,42.3572185,-71.11387163,124,42.309054,-71.11543,3
105_131,105,42.3572185,-71.11387163,131,42.32293117,-71.10014141,3
105_139,105,42.3572185,-71.11387163,139,42.36178044,-71.10809952,11
105_140,105,42.3572185,-71.11387163,140,42.388966,-71.132788,1
105_141,105,42.3572185,-71.11387163,141,42.36356016,-71.08216792,6
105_143,105,42.3572185,-71.11387163,143,42.369885,-71.069957,1
105_151,105,42.3572185,-71.11387163,151,42.358155,-71.052163,1
105_157,105,42.3572185,-71.11387163,157,42.35317809,-71.04817357,5
105_17,105,42.3572185,-71.11387163,17,42.36426344,-71.1182757,2
105_170,105,42.3572185,-71.11387163,170,42.303469,-71.085347,2
105_176,105,42.3572185,-71.11387163,176,42.38674802,-71.11901879,4
105_177,105,42.3572185,-71.11387163,177,42.36264779,-71.10006094,10
105_178,105,42.3572185,-71.11387163,178,42.3595732,-71.10129476,23
105_179,105,42.3572185,-71.11387163,179,42.35560121,-71.10394478,40
105_184,105,42.3572185,-71.11387163,184,42.35775309,-71.10393405,13
105_185,105,42.3572185,-71.11387163,185,42.36544486,-71.08277142,2
105_189,105,42.3572185,-71.11387163,189,42.36242784,-71.08495474,6
105_19,105,42.3572185,-71.11387163,19,42.347241,-71.105301,1
105_190,105,42.3572185,-71.11387163,190,42.365673,-71.064263,2
105_192,105,42.3572185,-71.11387163,192,42.354659,-71.053181,1
105_194,105,42.3572185,-71.11387163,194,42.38614141,-71.0782814,1
105_195,105,42.3572185,-71.11387163,195,42.37150494,-71.07249312,1
105_206,105,42.3572185,-71.11387163,206,42.35980252,-71.05960783,1
105_208,105,42.3572185,-71.11387163,208,42.35057,-71.166491,1
105_21,105,42.3572185,-71.11387163,21,42.34652004,-71.08065777,1
105_22,105,42.3572185,-71.11387163,22,42.352175,-71.055547,2
105_221,105,42.3572185,-71.11387163,221,42.37250865,-71.11305356,2
105_224,105,42.3572185,-71.11387163,224,42.38267828,-71.14347895,2
105_225,105,42.3572185,-71.11387163,225,42.37119728,-71.09759867,1
105_226,105,42.3572185,-71.11387163,226,42.35154735,-71.12126246,1
105_227,105,42.3572185,-71.11387163,227,42.349496,-71.10057592,2
105_23,105,42.3572185,-71.11387163,23,42.35892,-71.057629,1
105_233,105,42.3572185,-71.11387163,233,42.34619708,-71.10728681,1
105_27,105,42.3572185,-71.11387163,27,42.331184,-71.095171,1
105_29,105,42.3572185,-71.11387163,29,42.363732,-71.124565,2
105_3,105,42.3572185,-71.11387163,3,42.34011512,-71.10061884,1
105_318,105,42.3572185,-71.11387163,318,42.3636929,-71.0875672,3
105_329,105,42.3572185,-71.11387163,329,42.38169983,-71.08377589,2
105_33,105,42.3572185,-71.11387163,33,42.348706,-71.097009,3
105_330,105,42.3572185,-71.11387163,330,42.38100143,-71.10402523,2
105_331,105,42.3572185,-71.11387163,331,42.33658555,-71.09886996,1
105_332,105,42.3572185,-71.11387163,332,42.34953017,-71.13022771,1
105_333,105,42.3572185,-71.11387163,333,42.37500235,-71.14871614,1
105_335,105,42.3572185,-71.11387163,335,42.36599433,-71.09522222,4
105_338,105,42.3572185,-71.11387163,338,42.34835863,-71.13997217,1
105_342,105,42.3572185,-71.11387163,342,42.34465063,-71.09732501,1
105_35,105,42.3572185,-71.11387163,35,42.35533502,-71.05822917,2
105_352,105,42.3572185,-71.11387163,352,42.34827839,-71.08044855,2
105_357,105,42.3572185,-71.11387163,357,42.3121203,-71.1142981,1
105_359,105,42.3572185,-71.11387163,359,42.3339227,-71.10446509,1
105_36,105,42.3572185,-71.11387163,36,42.34992828,-71.07739207,1
105_361,105,42.3572185,-71.11387163,361,42.34924377,-71.0972821,1
